"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","connecting flight"
"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","brief layover"
"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","employees"
"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","Phoenix"
"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","kind"
"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","time"
"ReviewID",2012-07-12T00:00:00.0000000,"Luckily, I didn't have to travel far to make my connecting flight.My brief layover was pleasant as the employees were kind and the flight was on time. Hopefully, next time I can grace Phoenix with my presence for a little while longer.","presence"
"ReviewID",2012-07-12T00:00:00.0000000,"Best food, super friendly staff, and great prices. Love it!","super friendly staff"
"ReviewID",2012-07-12T00:00:00.0000000,"Best food, super friendly staff, and great prices. Love it!","Best food"
"ReviewID",2012-07-12T00:00:00.0000000,"Best food, super friendly staff, and great prices. Love it!","great prices"
"ReviewID",2012-07-12T00:00:00.0000000,"Qdoba is a kicked up version of Chipotle/Kokopellis. You walk up, choose a form of delivery (burrito, nachos, salad, burrito bowl, etc) you get a choice of meat (chicken, steak, etc) then you chose your toppings (different salsas, lettuce, cheese).  We all know the drill. I will say one thing Qdoba is much better in taste than Kokopellis and Chipotle.","taste"
"ReviewID",2012-07-12T00:00:00.0000000,"Qdoba is a kicked up version of Chipotle/Kokopellis. You walk up, choose a form of delivery (burrito, nachos, salad, burrito bowl, etc) you get a choice of meat (chicken, steak, etc) then you chose your toppings (different salsas, lettuce, cheese).  We all know the drill. I will say one thing Qdoba is much better in taste than Kokopellis and Chipotle.","nachos"
"ReviewID",2012-07-12T00:00:00.0000000,"Qdoba is a kicked up version of Chipotle/Kokopellis. You walk up, choose a form of delivery (burrito, nachos, salad, burrito bowl, etc) you get a choice of meat (chicken, steak, etc) then you chose your toppings (different salsas, lettuce, cheese).  We all know the drill. I will say one thing Qdoba is much better in taste than Kokopellis and Chipotle.","burrito bowl"
"ReviewID",2012-07-12T00:00:00.0000000,"Qdoba is a kicked up version of Chipotle/Kokopellis. You walk up, choose a form of delivery (burrito, nachos, salad, burrito bowl, etc) you get a choice of meat (chicken, steak, etc) then you chose your toppings (different salsas, lettuce, cheese).  We all know the drill. I will say one thing Qdoba is much better in taste than Kokopellis and Chipotle.","Kokopellis"
